AuthorName,ReviewBody,RatingValue,RatingMax,ReviewTitle,DatePublished,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Recommended,Departure,Arrival
K Tatten,"✅Verified Review|  London to Vancouver return. British Airways is no longer good value for money. The cost of Premium Economy compared with the quality of service, food, and the general age of the plane make this a fairly pointless exercise. The plane in both directions was old and shabby, staff are fine, but don't really go out of their way to make it a pleasant experience. Particular bugbears were the inability to choose a seat when checking in online as soon as it opened (of course, you have the opportunity to pay an extra £40-£55 each way to choose a seat beforehand). The food quality seems to have declined in the past few years and on a 9pm return flight it took a good few hours to serve the Premium Economy cabin. The tv screens are dirty and small (the system had to be reset on the flight out, took quite a while). For almost double the price of Economy, I don't think it makes sense to fly World Traveller Plus on this route.",5.0,10.0,"""plane in both directions old and shabby""",2017-03-08,Boeing 747-400,Solo Leisure,Premium Economy,LHR to YVR,2017-03,no,LHR , YVR
L Irving,"✅Verified Review|  Flew London Heathrow to Gibraltar. This is probably the last time that I'll book a short haul with British Airways from Heathrow for anything other than a long holiday - no matter how cheap they make it they can't overcome the structural issues of long walks to gates, delays for take-off slots, long walks back to passport control then long queues as passport control and a schlep back to transport. Willie Walsh was saying the other day how people had to expect to pay higher prices for premium airports - slightly hollow laugh. BA are further constrained by their 2 class cabin configuration which effectively means that the majority of passengers (in Economy) are served by only x2 cabin crew and only have access to the rear toilets. On our flight (of well over 2 hours) this meant that the final few rows did not get access to any food or water until we had begun the descent and the loos were effectively out of use. I have no objection to paying for food and drink but BA have got to make it possible to actually be able to do it and use the loos reasonably easily. Seems like a structural flaw in their offering. The other frustration was the lack of enforcement of the carry on allowance which leads to a scrum to get your bags stowed - it took me back to the early days of EasyJet and Ryanair before allocated seating. So unless I'm lucky enough to be among the pampered minority in the front few rows I think I'll use regional airports and the better general service (and available loos) that come with a single class cabin - no matter who the carrier is.",5.0,10.0,"""lack of enforcement of the carry on allowance""",2017-03-08,A320,Couple Leisure,Economy Class,London Heathrow to Gibraltar,2017-02,no,London Heathrow , Gibraltar
Kah Kay Au,"✅Verified Review|  This is my first time flying on BA's A380 daily service between London Heathrow and Singapore. I chose a seat on the upper deck of the A380 - seat 70A, an exit row seat. Located just behind World Traveller Plus, this seat has enormous leg space which allows the passenger to fully stretch out. The inflight entertainment was adequate and featured some of the latest movies. The classical music selection was severely limited though. BBC News was on the menu but ironically, it was not available for some strange reason. Inflight service was basic. There was only one round of drink service during which cabin crew asked passengers for their drink selection for dinner. In other words, you would have to order your orange juice/Coke and wine at the same time. Cabin crew came around to clear dinner trays too fast even before passengers had finished their meal. Throughout the night of this red eye flight, I did not see any cabin crew coming around with drinks. The LHR - VCE route was operated by the A320. British Airways had recently withdrawn free inflight snacks and drinks for its European routes and passengers are now required to purchase drinks and M&S snacks. On the whole, BA will get you to your destination safely and punctually with no frills in economy class. Unless there is a promotional airfare too good to resist, I would choose another airline.",5.0,10.0,"""Inflight service was basic""",2017-03-08,A380/A320,Solo Leisure,Economy Class,Singapore to Venice via London,2017-02,no,Singapore , Venice via London
T Robinson,✅Verified Review|  British Airways are really trying to take all the worst parts of the budget airlines and make a uniquely poor offering. I recently flew with BA from Gatwick to Marrakech despite the ticket price being twice the price of EasyJet. The catering with the new M&S food can be described as nothing short of chaotic. On the return journey the best that could be offered on a four hour journey was a KitKat! Cost cutting includes removing toilets. Is one toilet for 200 people realistic BA?,4.0,10.0,"""nothing short of chaotic""",2017-03-07,A320,Family Leisure,Economy Class,London to Marrakech,2017-03,no,London , Marrakech
L Rennie,"✅Verified Review|  London Heathrow to Cape Town return. This return journey was the worst long-haul flight that I've ever taken. British Airways Boeing 747-400 has been configured to cram in as many seats as possible so with only 2 toilets to cater for the front cabin, queues were 5 or 6 people long continuously throughout the flight. There was hardly any legroom and, while it's good that the seats recline quite a way, it's impossible to get in or out of a row without limbo dancing or waking the row in front to move their seats. The seats are very narrow so put pressure on my elbows when i was trying to sleep (I'm not a large lady, only 53kg!) and the entertainment controller is on the top of the armrest so my neighbour was constantly switching my light on accidentally. I gave up trying to watch a movie as the screen was so close to my face I couldn't focus on it. The inflight meal was also very poor, unlike the food we had on five internal flights on SAA which was excellent. British Airways have lost the plot - fly with someone else.",3.0,10.0,"""British Airways have lost the plot""",2017-03-07,Boeing 747-400,Couple Leisure,Economy Class,Cape Town to London,2017-03,no,Cape Town , London
Geoffrey Wyndham-Jones,"❎Unverified|  Oh dear: cost-cutting on British Airways has led to them becoming an embarrassment. Flew Kuwait to Edinburgh via London. Aircraft are still comfortable, timekeeping is good, and information from the flight deck is always forthcoming. However, most of the cabin crew were ""mature"", and the food and drink offering is now minimal. Breakfast from Kuwait was eggs mixed with vegetables (no, not the omelette we used to have) plus mushrooms and potatoes both prepared as a mushy sort of tortilla: both looked like something you would spoon out of a tin for a baby. ""Lunch"" was a mars bar or similar. I did not bother with the ""buy on board"" stuff on the flight to Edinburgh - I get a better choice in the terminal when I get off the aircraft. The domestic flight back from Edinburgh to Heathrow had the most appallingly childish cabin crew I have ever seen on BA, giggling at each other during the safety demonstration - very unprofessional. The evening meal out of London back to Kuwait was more like a snack, with a smallish steak, three snap peas, three baby carrots (I counted the things), and another babyfood potato thing. ""Breakfast"" was a muesli bar. Sorry guys: a comment on this board that BA equals ""Budget Airline"" just about sums it all up. I have other choices from the Gulf back home, and next time I will be thinking about taking one of them: the only attraction with BA is the extra legroom in Premium Economy, the choice of entertainment, and the direct flight to Heathrow rather than having to fly down the Gulf and return. Otherwise, the epitaph ""how the mighty have fallen"" springs to mind.",7.0,10.0,"""how the mighty have fallen""",2017-03-06,Boeing 747-400 & A320/321,Solo Leisure,Premium Economy,Kuwait to Edinburgh via London,2017-02,no,Kuwait , Edinburgh via London
Clive Drake,"❎Unverified|  London Heathrow - Pisa return. I fly this route often as I have a house in Tuscany. I fly British Airways Club Europe only because the FAs are better, the lounge is a welcome benefit - and if you book far ahead enough - you can get a reasonable deal plus Avious points. That aside there is little benefits to flying say Ryanair. The trip started at T5 and the Northern lounge was not, for a change, to busy. Had a fruit and coffee breakfast. The options were a group of highly unhealthy looking bacon baps - dripping fat all over the place. Some years ago - BA provided some nice scrambled eggs. Now they don't. Flight left from the ""A"" terminal and we boarded ""downstairs"" from the lounge. The plane was half full. It was clean and valeted. We pushed back 10 minutes early. My wife had a sort of brunch thing, cheese and ham + rolls. She said it was ok. I had a couple of Gin and Tonics. The FA said she had never seen such an empty flight - and neither had I for that matter. The now chargeable food and beverages in Economy went down like a lead balloon apparently. I read the BA ""Brochure"" on the now chargeable food and as a Sales and Marketing professional - It was the most patronising piece of rubbish I'd ever read. It read as if BA were providing the most amazing product to the benefit of all. And goodness me - the products are not cheap - over a £1 for a kit kat. We landed ahead of time and has to walk the tarmac like Ryanair customers. Several years ago you had the air-bridge. Now you don't. The return flight started in the shared lounge which was rammed. This in part is due to Qatar airlines operating out of Pisa and their Business Class customers use the same facility. Some booze and snacks - nothing edible. Flight delayed by 30 minutes. Plane was rammed. Very pleasant FAs. Afternoon tea - with horrible dried out sandwiches + scones that didn't look like scones. On both flights - the usual three seats with the centre seat being a table. No legroom. Hopelessly inadequate product which can be as high as £600 return. Docked at the ""B"" terminal and had to walk miles to the trains - that took us back to T5/Terminal ""A"". All in all - another disappointing experience from the ""World's most frugal Airline"".",3.0,10.0,"""Hopelessly inadequate product""",2017-03-06,A321,Couple Leisure,Business Class,London Heathrow to Pisa,2017-03,no,London Heathrow , Pisa
E Smyth,"✅Verified Review|  Overnight flight from St Lucia to Gatwick. Efficient check in. Lounge at St Lucia was pretty dire, some snacks provided which were ok. Plane on time. Club world middle seats which were a good option for us. The food options on this flight were not of the usual standard I would expect of business class. The starter of melon and cucumber was poor. The chicken main was overcooked and lacked any flavor. Drinks were good. Some options missing as not loaded but quality generally good. FA's were in the main good but some better than others. I was well looked after. However, the FA attending to my wife lacked experience and it showed. Overall a good flight. On the subject of baggage, it would seem that few of us with priority tagged baggage received their bags quickly (mine were almost last!).",7.0,10.0,"""Overall a good flight""",2017-03-04,Boeing 777-200,Couple Leisure,Business Class,St Lucia to Gatwick,2017-03,yes,St Lucia , Gatwick
Harry Aronowicz,"✅Verified Review|  Cape Town to London Heathrow in an old but well kept Boeing 747. Full flight. Flight left and arrived on time. What made this flight so outstanding was the crew. Very attentive and enthusiastic. My broken headphone was replaced within seconds of me telling one of the crew, when my wife's breakfast selection was apparently not available it was rapidly located at a different section and served - to her pleasant surprise.",10.0,10.0,"""Very attentive and enthusiastic""",2017-03-04,Boeing 747-400,Couple Leisure,Business Class,Cape Town to London,2017-03,yes,Cape Town , London
B Raker,"✅Verified Review|  London to Larnaca. Sadly British Airways is now a very poor quality budget airline that still thinks it is a top end carrier. The aircraft are generally old, shabby and dirty. The staff are surly and abrupt, the seating cramped and uncomfortable. I am a business travelled and would prefer to fly Club Europe but I am not paying three times the price for the same legroom as economy. It is a joke - if the person in front reclines I can't work - so how is this in any way business class.",2.0,10.0,"""poor quality budget airline""",2017-03-01,Boeing 767,Business,Economy Class,London to Larnaca,2017-02,no,London , Larnaca
P Butterworth,"✅Verified Review|  I have flown a lot with British Airways and other airlines and am constantly amazed at BA's bad reviews. Flew from Chicago to London. The plane was spotless, comfortable and well presented. The staff were impeccable, polite and helpful - in my view some of the best. The only thing I would ask is that they review the food. They have certainly cut their costs in particular for breakfast before landing and that was insubstantial. Overall they continue to impress.",9.0,10.0,"""they continue to impress""",2017-02-28,Boeing 747-400,Business,Premium Economy,Chicago to London,2017-02,yes,Chicago , London
Paul Dixon,"✅Verified Review|  Phoenix to London Heathrow. Due to a problem with our ticket which where first class returns to Heathrow, which I may add both my wife and I checked twice when booking the tickets was dated 12th March instead of 12th February. We checked in or tried to check in, whereupon the discrepancy was brought to our attention. We couldn't prove we booked correctly or that a computer glitch was to blame we still had to get home. The staff tried in vain to change the ticket but were told by faceless managers, ""no nothing could be done"". We enquired the cost of two Economy seats home whereupon we told the two Economy tickets would come to an eye-watering $5092 or £4243 Economy. To add insult to injury we already had 1st class tickets booked that just needed to be re-booked to the 12th February, no chance. We had no choice (over a barrel) scarcity value I hear you cry, no. We boarded to find that the flight was less than half full. My wife and I were beside ourselves with anger (not to the flight crew) it wasn't their fault but they were dumbstruck themselves. To cap it all the food on the way home was appalling inedible. We will never fly BA again. British Airways - the worlds biggest rip off.",1.0,10.0,"""the worlds biggest rip off""",2017-02-27,Boeing 747-400,Couple Leisure,Economy Class,Phoenix to London Heathrow,2017-02,no,Phoenix , London Heathrow
M Gascoigne,"✅Verified Review|  London Heathrow to Chicago O'Hare and my experience was wonderful. There were a few problems checking in at Terminal 5 (there was an issue with some of the luggage belts at check-in running slow - never mind these things happen). We were given information about what was happening and staff were doing their best. Fast-track security was fast. Made my way to the lounge in South Terminal which was busy but I was able to find a quiet spot. Lots of food and drinks on offer but I stuck to water as I knew would be eating on the plane. Had to go to a gate in B terminal - this was my first time at Terminal 5 so asked how to get to the gate, very easy instructions given and transportation via the transit train. Boarding was easy although I didn't use the priority boarding service (my bad missing the announcement). I paid extra so I could pre-book my seat (63J) on the upper deck and really glad I did. Our cabin crew were wonderful, so attentive and polite and nothing seemed any bother for them. The food was good for airplane food and the pink champagne was very nice! I managed to get a couple of hours sleep which is very unusual for me. There's lots of room and the upper deck is limited to a maximum of 20 passengers so it feels very private. The window seats have lots of storage but unless you are in 62 or 64 A/K you have to climb over your neighbour's foot stool/legs to get in and out of your seat. 63J is an aisle seat so less private but lots of room as it's by an exit door (ideal for anybody over 6ft). There is a long not too high drawer to place items (I put a pair of knee-length leather boots in there without any issue and there was room for more) and there's the overhead lockers. I couldn't fault my trip out and I am hoping my return trip is just as enjoyable.",10.0,10.0,"""experience was wonderful""",2017-02-26,Boeing 747-400,Business,Business Class,London to Chicago O'Hare,2017-02,yes,London , Chicago O'Hare
Nicola Beretta,"✅Verified Review|  London Heathrow to Mumbai. I've been a loyal BA customer for several years, but this was a journey of disappointment. I was late to the airport due to delays on the train line. Called customer services while on my way, and after 15min of wait I was told they couldn't do anything about it, but gave me the number of the airport. It was incorrect. At Terminal 5 I asked the attendant for help given the rush. He was quite rude and said I had to join the queue unless I was flying business. At the gate, we had a late boarding because 'the computer wasn't working'. I was flying premium economy and let me say, on this flight (BA0199) it is like the economy class of several other airlines.  Plus this 777 was in desperate need of a refurbishment. My headrest was hanging down the seat, the screen was filthy and its arm broken so it wouldn't stay in position. The flight attendant (who I never saw smiling for the entire flight) said he had reported it on the way in. I asked to change my seat. In my new seat the headphone audio had regular loud cracks and pops (it wasn't the headphones, I tried mine too). The entertainment system was poor. It started nearly an hour into the flight and stopped an hour before landing, plus the 'noise cancelling' headphones are NOT noise cancelling - try pulling the jack out and it doesn't make a difference. Overall a very poor experience, crowned by a terrible breakfast. Sorry BA but you are stuck in the 80s and you're slipping further down my list of preferences.",2.0,10.0,"""a journey of disappointment""",2017-02-25,Boeing 777,Business,Premium Economy,London to Mumbai,2017-02,no,London , Mumbai
Ken Wilkins,"✅Verified Review|  San Jose Costa Rica to London Gatwick. We were firstly unable to get two seats together at online check-in. The next day at the airport we asked the clerk if we could have our seats together and he refused. I argued my case that we had paid a lot of money for these flights. After about ten minutes he showed the seating plan to his supervisor who immediately approved changing us to be seated together. I later found out the two BA employees, travelling either for free or at a drastically reduced rate had been given the seats originally and were eventually, after a great deal of argument moved. I have complained to BA and they have confirmed that this did indeed happen and will ensure it doesn't in the future. Next up we both had salmon and were both ill towards the end of the flight. My IFE didnt work, they offered to move me, ironically to swap with one of the BA employees but I declined as it defeated the object of wanting to sit with my wife. Choice of starter also not available but that was no big deal. Dreadful, stressful experience for people who'd paid a lot of money. Have been called by Customer Service who have offered us 10000 Avios as compensation, enough for a night at the Holiday Inn Express! Awful company to deal with, totally dismissive of customer need. On the plus side Business Class seats were comfortable and cabin crew attentive. BA need to do better though, far better if they are to compete with the good Middle East and Far Eastern airlines.",2.0,10.0,"""dreadful, stressful experience""",2017-02-24,Boeing 777,Couple Leisure,Business Class,San Jose to London Gatwick,2017-02,no,San Jose , London Gatwick
J Laws,"✅Verified Review|  London Heathrow to Miami. I paid £50 extra for an exit seat - this is the best thing to do. Make sure you get the one closest to window, mainly because no-one stands there to stretch their legs etc. You get unlimited leg room and the ability to stand up and wander / stretch whenever you want, and it is good value on a ten hour flight. The seats on the A380 are narrow, the entertainment system the usual etc. The meals were fine. My major issue with British Airways economy is their penny pinching. You sit down, there is no welcome snack - you then have your meal and  seven hours later if you are hungry, you have to pay for basic snacks. It's ridiculous. On American Airlines they put out boxes of pretzels, biscuits etc which you can just help yourself to. If you have a diet coke, on American you get a full 330ml can, on British Airways you get the small version. There are so few differences flying in economy between different airlines, these things count. BA has no other major advantages, so sadly, why use them?",6.0,10.0,"""major issue is their penny pinching""",2017-02-24,A380,Solo Leisure,Economy Class,London to Miami,2016-12,yes,London , Miami
C Christodolou,"✅Verified Review|  Lisbon to London Heathrow. Now that BA have started charging for all food and drink on short haul flights, they might as well rebrand to a budget airline. Over the last few years, leg room across European flights (business and economy class) has decreased, to the point where it now practically the same as any budget airline. That said, it is in practice worse than budget airlines, because at least the main budget carriers have done the decent thing of removing the seat recline button, eliminating further discomfort. Even without the seat in front reclined, anyone taller than 5' 8"" will be packed in tightly on any European short-haul flight. The staff are friendly and polite. However, they are often struggling to pass through the whole economy cabin with drinks/food sales service, especially when the plane is full and the flight is under 2hours 30mins. This does not only result in thirsty / hungry customers, but also the almost permanent presence of the service trolleys in the aisle blocking access to the toilets. Business class (which I sometimes use) is offered a free meal and drinks, all of a reasonable quality. However, in terms of legroom / seat size there is no benefit compared to economy. The only reason I continue to fly BA is because I have fairly set routes and BA generally fly at times which suit me. Otherwise, I get little in the way of added value. The benefits of Avios points and moving up membership tiers are hardly worth it (in monetary terms), particularly if one mostly flies within Europe. It is much cheaper to get a lounge membership (many are valid for most European - and beyond - airports), rather than remain loyal to BA these days. I have been flying with BA for well over a decade now, on a monthly basis. My sympathies go to the staff, because I fear cost-cutting will get them next, which will no doubt be to the detriment of the high standards the crews maintain to this day.",2.0,10.0,"""rebrand to a budget airline""",2017-02-24,A320,Business,Economy Class,Lisbon to London,2017-02,no,Lisbon , London
Catalin-Alexandru Epure,"✅Verified Review|  Berlin Tegel to London Heathrow. I decided to give British Airways a chance for a short weekend trip to London, because when it comes to prices they cannot beat the low-cost airlines. And what do you know? I had a part of the low-cost experience paying a bigger price: no checked-in luggage included (not even as a oneworld Emerald) and you had to pay for your inflight snacks and beverages. A plus is that the prices for the snacks and drinks were not as high as with other airlines that have introduced this service lately and the quality was good. The prices were even below airport ones. The bad thing was indeed that they needed a lot of time to deliver all the products (people were buying stuff) and it took ages until you could get your order - well, you can't compete with Ryanair trying to do better the things they do best. I really miss the days when British Airways was offering tea nad coffee for free and a little snack, it was a pleasure to fly with them and I would be happy to get back to those days. Some good things about the flights was that they landed ahead of schedule, boarding was very efficient, which is a big plus and the seats were gorgeous, a lot of space, very comfortable leather seats. As an advice, please don't try to be someone else, stay where British Airways used to be and the success will come. Losing an identity can cause more financial damage then a sandwich and a tea offered for free.",7.0,10.0,"""stay where British Airways used to be""",2017-02-23,A320,Solo Leisure,Economy Class,Berlin to London,2017-01,yes,Berlin , London
S Hanylu,"✅Verified Review|  Istanbul to London Heathrow. I am a frequent flyer between Turkey and Canada. I got first time flight by British Airways. I feel it was the worst airline so far compared to others. Can you imagine that they even did not give a cup of water to the passengers for 3.5-hour flight from Istanbul to London.  They explained it by economical concerns. What is the economical benefit not to serve a cup of water? Also, from London to Vancouver, we delayed almost 2 hours because of luggage issues and a passenger did not feel well and he had to leave the plane, which could be understandable this part. But, the plane was old Boeing 747, the screens were very bad quality and small. The name of the company is big but quality of the service is far below than average. Cabin crew are professional though, so this is not their mistake. It was enough trouble for me not to select BA in my flights in the future.",3.0,10.0,"""the worst airline so far""",2017-02-23,A320,Solo Leisure,Economy Class,Istanbul to London,2017-02,no,Istanbul , London
T Davidson,"✅Verified Review|  Filthy dirty, tired Boeing 777-200 to Chicago. British Airways First Class seat is barely a Business Class seat on other airlines. Food absolutely terrible, and service from crew hurried and disinterested. IFE movies limited selection, and slow. This is an airline in decline. They don't care because of limited competition across the Atlantic. In summary, not First Class, but rather no class. Finally, their First Class lounge at Heathrow was dirty and worn.",1.0,10.0,"""this is an airline in decline""",2017-02-22,Boeing 777-200,Business,First Class,London Heathrow to Chicago,2017-02,no,London Heathrow , Chicago
J Stewart,"✅Verified Review|  Gatwick to Cape Town. This journey was a very pleasant surprise. I didn't expect great service and was not disappointed. I didn't expect great food or wine and was not disappointed. I didn't expect a comfortable economy seat and was pleasantly surprised. This was an older 777 with a 3-3-3 configuration (31"" seat pitch) in economy and comfortable seats. I flew to South Africa this time last year with Virgin on their new B787 and it was a nightmare. The comfort of seat on a long haul is far more important to me that anything else and this was a far more pleasant experience than I had expected.",8.0,10.0,"""comfortable economy seat""",2017-02-21,Boeing 777,Couple Leisure,Economy Class,Gatwick to Cape Town,2017-02,yes,Gatwick , Cape Town
Mike Palmer,"✅Verified Review|  Toronto to London in premium economy. Easy check in and fast track security meant I was in the lounge within 15 mins. Unfortunately, they were clearing up and restocking from the earlier flight. Poor choice of stale sandwiches and soup on it's last legs. I let the front desk know, and the staff made me a fresh sandwich. Also, beers had changed with 5 lagers and Newcastle Brown. The Manager fetched some IPA from the first lounge - some really good customer service which is typical in this lounge. The most disorganised boarding ever with few PAs. Onboard, juice or water offered. I asked for sparking wine but it's only done on flights from London - (crew explained it can't be chilled at outstations - (poor excuse given they do it for Club and First). Fast service after take off with an ok entree. Poor salad, and a nasty dry piece of cake. IFE was the same as my trip over Christmas so it seems the IFE is updated less often. Tea, coffee and juice offered before landing. But no muffin or even a biscuit - really poor. Prompt disembarking and bags beat me to the baggage belt. Return a week later was a better flight. Easy check in again and no fast track queue. North Lounge was an average experience, ok choice of sandwiches but not particularly clean and in need of a refresh. Bused to aircraft, a Boeing 787-9, with premium economy only half full. A half glass of prosecco was offered and a requested top up was forgotten. Fast bar service by excellent cabin crew who offered good customer service. An ok meal with a rancid coleslaw, ok steak and a tiny pot of desert. Generous with the drinks. Unfortunately, the dropping of afternoon tea at the back is inexplicable and really poor judgement by BA. I was offered T&Cs plus a breakfast bar or malt loaf finger. The crew were genuinely embarrassed (a couple of sandwiches I liberated from the club lounge made up for it). Fast off the plane, and despite slow immigration, the bags beat me again. Overall the flight was ok but certainly not up to the standard of premium economy on competitors. The meal is nowhere near Club standard and its the cutting of the small things - nibbles, breakfast and afternoon tea which irk me the most. Be competitive but don't take it out on me! I wouldn't mind but the prices don't go down with the reduction of service. Despite what the CEO maintains - it is not in response to customer feedback. BA need to listen to what we're saying and take a long hard look at their conscious decision to downgrade service and become as bad as the budget airlines. Eventually the hardiest of us loyal BA customers will give up and move airline / alliance and that would be a shame.",7.0,10.0,"""decision to downgrade service""",2017-02-21,Boeing 787-8 / 787-9,Solo Leisure,Premium Economy,Toronto to London,2017-02,no,Toron, to London
Peter Hill,"✅Verified Review|  London Heathrow to Stuttgart. Fly in comfort and style is the slogan of British Airways, but there is not much of either around these days. Not willing to pay an extra £8, I was allocated a middle seat right at the rear. At the gate an announcement was made for volunteers to check in their hand-luggage ""at no extra cost"". Within a minute a burly employee told me I had to check in my cabin bag, saying ""you should not believe what is said on the company's website"". How very true! Some ten other passengers, equally perplexed suffered the same fate. I know there were ten, because another employee kept counting us and saying ""we need ten"". The burly employee was later to be found on the airbridge to make sure that we really did hand over our cabin bags. All in all a demeaning experience. The seat rows are now more tightly packed than before. Although of average slim build, I found the seat a tight fit. Only a few passengers took up the offer to purchase food or drink (the deceptive ""upgrade"" we were sold at the beginning of the year). But still, did not reach the back of the plane until shortly before landing. Not only have the complimentary food and drink disappeared, but also newspapers and priority boarding for those of us who are frequent flyers. On the return journey I noticed part of the reason for this new policy: the Stuttgart ground staff have now been replaced by agency staff. BA is now no better than the no frills competitors, but keeps the facade of a full service airline with full service prices. A loyal customer of many, many years, I will choose their competitors in future.",1.0,10.0,"""no better than no frills competitors""",2017-02-21,A319,Business,Economy Class,London Heathrow to Stuttgart,2017-02,no,London Heathrow , Stuttgart
H Wills,"✅Verified Review|  London Heathrow to Las Vegas, and a great journey. The flight was on time and staff were professional and friendly. The inflight meals were tasty and the portions of a good size. Although the seats are a bit narrow, they were comfortable and the leg room was adequate. Facilities on the plane were clean. Would definitely fly BA again.",8.0,10.0,"""professional and friendly""",2017-02-20,Boeing 747-400,Couple Leisure,Economy Class,London to Las Vegas,2017-02,yes,London , Las Vegas
Michael Davies,"✅Verified Review|  London Heathrow to Rome return. Race to the bottom. My first time with the new buy onboard service. I was not happy when they announced this and this flight confirmed my disappointment. Basically it does not work. I can understand in some ways why they decided to offer a wide range of food options. I would have accepted this if they had kept the free drinks. Even soft drinks are chargeable - I don't think this is acceptable. However, despite the extensive menu, there was an extremely limited selection available. One crew member came round soon after the flight took off and took orders for hot food. There was a 20-25 minute wait time for this. The crew then came around with the drinks trolley. This was extremely slow. The payments could only be made with credit cards or Avios points. The payment added significant times to process. Despite sitting 3 rows from the front of the cabin, we didn't get our drinks until 30 minutes after they started. There was only the one trolley, and they were still serving the rear of the cabin as we were starting our decent. CEO Alex Cruz and British Airways - your airline used to distinguish itself from the competition but you are on a race to the bottom - more rows in economy, 10 abreast in some 777's and other cost cutting measures mean that even though I'm a Silver Exec club member I am now considering my future travel options. I live near Manchester Airport and KLM/Air France and Lufthansa are more attractive options.",5.0,10.0,"""on a race to the bottom""",2017-02-20,A320,Business,Economy Class,London Heathrow to Rome,2017-02,no,London Heathrow , Rome
A Galyan,"✅Verified Review|  Edinburgh to London City. Despite having a confirmed booking, when I attempted to check-in with a prepaid-for bag at 1535 at the EDI airport for a 1655 flight to LCY (domestic flight) I was told I couldn’t as the flight had been oversold. I accepted an offer to switch to a later flight on the same route with Flybe and take compensation but then was told the compensation couldn’t be authorised so I had to ‘wait’. I then stood around for 10 minutes, being asked to ‘move out of the way’ at one point because I was blocking others. I was not given a copy of the compensation scheme details (despite what the BA website claims should be done) and the staff seemed unclear of it themselves. I was simply ignored until I approached the desk again and insisted to speak to a supervisor. None was available nor could be contacted, apparently. I wasn’t allowed to transfer to the Flybe flight “in case” a seat became available on my original flight, so they tagged my luggage but did not check it in. I was told to wait for another 20 minutes. I argued this was not fair to leave me in limbo given I had a confirmed booking in the first place but I was basically ignored and informed this flight is regularly oversold and it’s not their problem that other people had checked-in before me. I was treated as a nuisance. At one point, there were 5 members of BA check in staff doing nothing (nobody else to serve) whilst I was just standing silently there ‘waiting’ and being ignored. After 20 minutes of not knowing what to do, my original flight closed and I was approached by a supervisor (who suddenly was available to talk to me) and given a seat. I asked how it was that a seat has magically appeared if earlier I had been told the flight was already full with no seats available. He explained that the seats had been prepaid for by others who had then not checked in, and as the check-in was closing, they could give me the seat now. I informed him that I resented having been treated rudely by his staff earlier (though the supervisor himself was professional and courteous) and that his staff are untrained to deal with overbookings. I had done nothing wrong to deserve being treated so shabbily, like a problem rather than a customer. I then had a predictably stressful rush through security to ensure I was not denied boarding at the gate for being late (even though I had arrived at the airport with plenty of time to spare originally, especially for a domestic flight). As I told the supervisor, if the airline treats its customers with such contempt, do not be surprised that the public ends up viewing the airline with contempt. Under their current policy of overbooking, passengers who do not pay more to reserve a seat in advance are at risk of not getting a seat at all, even though they have a confirmed booking. Some would call this cheating. The saving grace of the experience was that the flight was punctual, and unlike mainline BA, this route is run by its subsidiary BA CityFlyer which still offers complimentary drinks and a snack for which the cabin crew service was efficient. I rate it 2 out of 10 for the stress incurred in checking in.",2.0,10.0,"""treats customers with such contempt""",2017-02-20,Embraer 170,Solo Leisure,Economy Class,Edinburgh to London City,2017-02,no,Edinburgh , London City
S Simpson,"✅Verified Review|  Accra to London Heathrow on BA is a 6 hr 50 min overnight flight. Sleeping on overnight flights in economy class is an ordeal in itself, bit I was highly disappointed that more than an hour before landing - we had just entered French airspace - all cabin lights were put on bright for the breakfast/snack service (following the dinner after take-of in Accra): the more since this service consisted of a cup of tea or coffee (or cold drink) only. Not even a biscuit was offered. I was shocked.",4.0,10.0,"""I was highly disappointed""",2017-02-19,Boeing 747,Couple Leisure,Economy Class,Accra to London Heathrow,2017-02,no,Accra , London Heathrow
M Kemp,"✅Verified Review|  This a tale of two airlines and their individual approaches to Business Class passengers. We were flying to Mauritius on holiday and I felt, given the flying time, we should spoil ourselves and fly up-front with all the 'comparative' comfort of Business Class. The British Airways flight itself was okay, the crew friendly and the cabin worked fine. However, I was totally shocked by the standards of catering in the Gatwick Lounge (a small issue for some perhaps, but for me, it's all part of the Business Class experience). To illustrate my point, I attach a shot of what Walsh's policy of putting shareholders first actually means for fare-paying passengers. With the very confusing layout that greets one in the South Terminal now that BA have moved in, the 'serve yourself' check-in (you even label your own bags!). I was pretty frustrated by the time we actually found the 'Lounge'. But then to be greeted with this, was totally unacceptable. So, Willie, rather than screwing down costs for the benefit of your shareholders, this sort of display of overt cost-cutting has now lost you revenue for the future. Short-sighted management or what? Take a lesson from Emirates who I decided to fly home with, so disgusted was I over our experience. They put passengers first!",4.0,10.0,"""Short-sighted management or what?""",2017-02-18,Boeing 777,Couple Leisure,Business Class,London Gatwick to Mauritius,2017-02,no,London Gatwick , Mauritius
